osm_id,facility_name,latitude,longitude,parking_type,fee,capacity,operating_hours,access
881601164,Unnamed Parking,-1.3002801,36.7622035,surface,unknown,,24/7,public
952524608,Unnamed Parking,-1.3410883,36.7571255,surface,unknown,,24/7,public
972912982,Unnamed Parking,-1.3106546,36.8392853,surface,unknown,,24/7,public
972912983,Unnamed Parking,-1.3107183,36.8394239,surface,unknown,,24/7,public
972912984,Unnamed Parking,-1.3107293,36.8394958,surface,unknown,,24/7,public
972912985,Unnamed Parking,-1.310739,36.839601,surface,unknown,,24/7,public
972912986,Unnamed Parking,-1.310746,36.8396855,surface,unknown,,24/7,public
980728885,Unnamed Parking,-1.2594006,36.8950339,surface,unknown,,24/7,public
995002788,Unnamed Parking,-1.2705904,36.8526537,surface,unknown,,24/7,public
995026217,Unnamed Parking,-1.3086835,36.8666188,surface,unknown,,24/7,public
995566500,Unnamed Parking,-1.3006158,36.8197907,surface,unknown,,24/7,public
996349646,Unnamed Parking,-1.2975994,36.7563983,surface,unknown,,24/7,public
1004221453,Unnamed Parking,-1.3204794,36.8099241,surface,unknown,,24/7,public
1004221454,Unnamed Parking,-1.3186284,36.81806,surface,unknown,,24/7,public
1004235752,Unnamed Parking,-1.3015528,36.8044991,surface,unknown,,24/7,public
1004235753,Unnamed Parking,-1.3000056,36.8044941,surface,unknown,,24/7,public
1004236610,KMTC Parking Yard,-1.2990676,36.8043518,surface,unknown,,24/7,public
1004297635,Unnamed Parking,-1.3146432,36.8076361,surface,unknown,,24/7,public
1004297636,Unnamed Parking,-1.3149046,36.8069838,surface,unknown,,24/7,public
1004297637,Unnamed Parking,-1.3144498,36.8071339,surface,unknown,,24/7,public
1004334863,Unnamed Parking,-1.3087071,36.812895,surface,unknown,,24/7,public
1004334864,Unnamed Parking,-1.3096015,36.812291,surface,unknown,,24/7,public
1004334865,Unnamed Parking,-1.3110358,36.8149006,surface,unknown,,24/7,public
1004334866,Unnamed Parking,-1.3106979,36.81514,surface,unknown,,24/7,public
1004334867,Unnamed Parking,-1.3102643,36.8141555,surface,unknown,,24/7,public
1004336473,Unnamed Parking,-1.3080255,36.835662,surface,unknown,,24/7,public
1004336474,Unnamed Parking,-1.3071314,36.8348198,street_side,unknown,,24/7,public
1004336475,Unnamed Parking,-1.3070754,36.8337221,street_side,unknown,,24/7,public
1005230664,Unnamed Parking,-1.2623309,36.8247284,surface,unknown,,24/7,public
1005230665,Unnamed Parking,-1.2617113,36.8225726,surface,unknown,,24/7,public
1017651874,Unnamed Parking,-1.2884981,36.7897644,surface,unknown,,24/7,public
